商品ID,是否上架,日期,是否企业店铺,店铺名称,店铺等级,掌柜ID,资质押金,描述,服务,物流,价格1,价格2,价格3,价格4,价格,优惠券,是否免邮,尺码,库存,支付,是否公益,收藏宝贝,详情照片数,视频有无,累计评论,商品信息字数,30天销售量,30天成功交易量,评论有图,追评,好评,中评,差评,评价印象标签及数量
600948351695,1,2019/10/3,0,acaine,5蓝冠,呛口小泡菜,10000元,4.8,4.8,4.8,229.90,229.90,219.90,209.90,169.90,10元店铺优惠券/满499元可用/领取//10元店铺优惠券/满499元可用/领取,0,均码,128,蚂蚁花呗/信用卡支付/集分宝,0,3652,41,0,183,131,488,331,20,4,183,0,0,版型好看/(22)/衣服很舒服/(14)/质量蛮好/(13)/穿着效果好/(5)/款式很潮/(3),
603775899451,1,2019/10/3,0,acaine,5蓝冠,呛口小泡菜,10000元,4.8,4.8,4.8,229.90,229.90,229.90,219.90,189.90,10元店铺优惠券/满499元可用/领取//10元店铺优惠券/满499元可用/领取,0,均码,1837,蚂蚁花呗/信用卡支付/集分宝,0,1420,38,0,3,137,139,3,0,0,3,0,0,0,
599448681614,0,2019/10/3,
601137753788,1,2019/10/3,0,盛卓雅桃桃家女装,3金冠,3_wenjing2007,4000元,4.7,4.8,4.8,79.00,88.00,78.00,98.00,79.00,淘金币可抵1.58元//30元店铺优惠券/满499元可用/领取//20元店铺优惠券/满369元可用/领取,1,均码,14329,蚂蚁花呗/信用卡支付/集分宝,0,1199,70,1,125,189,493,321,5,1,125,0,0,0,
602060801798,1,2019/10/3,1,绫致时装官方店,5金冠,绫致时装正品店,51000元,4.8,4.8,4.8,899.50,599.00,399.00,0,219.00,淘金币可抵4.38元//400元店铺优惠券/满1200元可用/领取//300元店铺优惠券/满900元可用/领取//满1件/享部分地区包邮/送优惠券,0,165/84A/M/170/88A/L,102,蚂蚁花呗/信用卡支付/集分宝,0,1209,60,0,47,200,472,210,1,0,45,0,2,0,
577468102219,1,2019/10/3,0,盛卓雅桃桃家女装,3金冠,3_wenjing2007,4000元,4.7,4.8,4.8,208.00,186.00,98.00,119.00,139.00,淘金币可抵2.78元//30元店铺优惠券/满499元可用/领取//20元店铺优惠券/满369元可用/领取,1,均码,23759,蚂蚁花呗/信用卡支付/集分宝,0,21531,50,1,202,171,176,88,2,2,202,0,0,0,
590642359097,1,2019/10/3,1,绫致时装官方店,5金冠,绫致时装正品店,51000元,4.8,4.8,4.8,209.00,239.00,219.00,0,139.00,淘金币可抵2.78元//400元店铺优惠券/满1200元可用/领取//300元店铺优惠券/满900元可用/领取//满1件/享部分地区包邮/送优惠券,0,155/76A/XS/160/80A/S/165/84A/M/170/88A/L/175/92A/XL,671,蚂蚁花呗/信用卡支付/集分宝,0,961,61,0,274,257,473,209,8,3,271,1,2,质量蛮好/(5)/板型很好/(5)/穿着美/(3)/很划算/(3),
602733921404,1,2019/10/3,0,采琳思朔Top潮流女装,4蓝冠,当惜好光阴,2000元,4.8,4.9,4.9,109.00,109.00,89.00,89.00,99.00,淘金币可抵1.98元//15元店铺优惠券/满328元可用/领取//10元店铺优惠券/满209元可用/领取,1,S/M/L/XL,6320,蚂蚁花呗/信用卡支付/集分宝,0,91,2,0,3,165,79,42,1,1,3,0,0,0,
603277755215,1,2019/10/3,0,采琳思朔Top潮流女装,4蓝冠,当惜好光阴,2000元,4.8,4.9,4.9,109.00,109.00,99.00,89.00,99.00,淘金币可抵1.98元//15元店铺优惠券/满328元可用/领取//10元店铺优惠券/满209元可用/领取,1,S/M/L/XL,6338,蚂蚁花呗/信用卡支付/集分宝,0,112,2,0,2,162,61,32,0,0,2,0,0,0,
599381889552,1,2019/10/3,0,欣儿法国代购,1蓝冠,荣昌玻璃瓶直销店,1518元,4.9,4.9,4.9,2044.00,1890.00,1757.00,1701.00,1295.00,0,1,1/2/3,84,蚂蚁花呗/信用卡支付/集分宝,0,87,6,0,69,65,1,5,0,0,69,0,0,质量不错/(26)/款式很好/(18)/衣衣很舒服/(14)/穿上好看/(12)/做工好/(10)/时尚百搭/(7)/大小合适/(5)/版型漂亮/(5),
588256635380,1,2019/10/3,0,咩咩家清新文艺女装,3金冠,晓_咩咩,1000元,4.7,4.7,4.7,48.00,68.00,0,68.00,58.00,0,1,M/L,105,集分宝,0,11616,25,0,1412,85,330,154,32,5,1408,1,3,色彩很好/(28)/质量好/(22)/衣衣很舒服/(20)/版型好/(17)/厚实/(12)/实惠/(9)/穿上好看/(6)/料子好/(5)/和描述一致/(3)/服务不错/(3),
604534587991,1,2019/10/3,0,咩咩家清新文艺女装,3金冠,晓_咩咩,1000元,4.7,4.7,4.7,81.00,39.90,0,39.90,48.00,0,1,M/L,120,集分宝,0,629,30,0,0,69,338,0,0,0,0,0,0,0,
601783965197,1,2019/10/3,0,淡薄荷日系轻奢女装,1蓝冠,吴悠baby6,1000元,4.9,4.9,4.9,688.00,508.00,518.00,680.00,368.00,30元店铺优惠券/满1000元可用/领取//20元店铺优惠券/满500元可用/领取,1,均码,145,蚂蚁花呗/信用卡支付/集分宝,1,15,14,0,1,148,5,2,0,0,1,0,0,0,
603390683092,1,2019/10/3,1,戎美高端女装/高品质高性价比,4金冠,家有n多宝贝,49451.7元,4.8,4.9,4.9,4799.00,1500.00,1250.00,0,520.00,淘金币可抵10.40元,1,34码/36码/38码/40码/42码/44码,63,蚂蚁花呗/信用卡支付/集分宝,0,1342,57,0,0,273,467,0,0,0,0,0,0,0,
602180147537,1,2019/10/3,0,淡薄荷日系轻奢女装,1蓝冠,吴悠baby6,1000元,4.9,4.9,4.9,688.00,658.00,680.00,588.00,410.00,30元店铺优惠券/满1000元可用/领取//20元店铺优惠券/满500元可用/领取,1,M/L/XL,594,蚂蚁花呗/信用卡支付/集分宝,1,20,20,0,3,152,5,4,0,0,3,0,0,0,
599561137148,1,2019/10/3,0,陈太法国代购2店,4蓝冠,风波亭儿,1000元,4.9,4.9,4.9,1500.00,1350.00,1350.00,1100.00,980.00,淘金币可抵19.60元,1,1/2/3,10,蚂蚁花呗/集分宝,0,695,13,0,151,104,222,140,0,0,151,0,0,质量好/(31)/穿上好看/(29)/衣衣很舒服/(22)/版型好/(16)/款式蛮好/(16)/是正品/(16)/做工好/(11)/划算/(8)/尺寸很准/(7)/物流快/(7),
