商品ID,是否上架,日期,是否企业店铺,店铺名称,店铺等级,掌柜ID,资质押金,描述,服务,物流,价格1,价格2,价格3,价格4,价格,优惠券,是否免邮,尺码,库存,支付,是否公益,收藏宝贝,详情照片数,视频有无,累计评论,商品信息字数,30天销售量和成功交易量,评论有图,追评,好评,中评,差评,评价印象标签及数量602303812955,1,2019/10/5,0,超会购Super/Mall,2金冠,蘑菇街的衣衣,1000000元,4.7,4.8,4.8,47.87,49.98,44.87,35.87,9.87-13.87,淘金币可抵0.19元//10元店铺优惠券/满188元可用/领取//5元店铺优惠券/满88元可用/领取,1,均码,793506,蚂蚁花呗/信用卡支付/集分宝,1,107,102,0,12148,212,30天内已售出9.5万+件，其中交易成功5.5万+件,4727,187,12139,2,7,质量蛮好/(3166)/衣服很舒服/(3114)/穿着效果好/(850)/版型漂亮/(846)/颜色挺正/(633)/布料好/(546)/手感很好/(210)/大小合适/(179)/做工很赞/(118)/很薄/(69),
600132055982,1,2019/10/5,0,高端羊绒工厂直销店,3蓝冠,三羊坊,2000元,4.8,4.8,4.8,69.00,59.00,46.00,56.00,29.00,淘金币可抵0.58元//10元店铺优惠券/满120元可用/领取//5元店铺优惠券/满50元可用/领取,1,S/M/L/XL/2XL/S号/5分钟内下单29元/M号/赠送运费险/L号/免费试穿/XL号/不起球/不掉毛/2XL号/抢完恢复原价299元,98724,蚂蚁花呗/信用卡支付/集分宝,0,32217,23,1,9244,340,30天内已售出5万+件，其中交易成功3万+件,692,554,9239,3,2,很舒适/(736)/质量好/(503)/颜色很美/(189)/摸着还行/(137)/穿着漂亮/(124)/料子不错/(101)/外形好看/(93)/码数很准/(73)/做工不错/(44)/颜色不喜欢/(31),
598630184279,1,2019/10/5,1,高端羊绒清仓一天,2蓝冠,龙马毛衫,2019元,4.8,4.8,4.8,95.00,98.00,49.00,0,36.00,淘金币可抵1.80元,1,S/M/L/XL/2XL,313127,蚂蚁花呗/信用卡支付/集分宝,1,37606,20,1,19758,200,30天内已售出2.5万+件，其中交易成功2万+件,756,117,19734,11,13,衣服很舒服/(931)/质量蛮好/(848)/颜色挺正/(377)/穿着效果好/(273)/尺寸很准/(266)/版型好/(187)/布料好/(141)/做工很赞/(111)/颜色不喜欢/(53)/料子不好/(34),
593914535972,1,2019/10/5,0,高端羊绒清仓活动一天,5蓝冠,鹿晗羊绒,2000元,4.8,4.8,4.8,68.00,68.00,98.00,68.00,38.00,淘金币可抵0.76元,1,S/M/L/XL/2XL/S号/5分钟内下单送羊绒围巾/M号/免费试穿/L号/赠送运费险/XL号/不起球/不掉毛/2XL/号/抢完恢复原价299元,569437,蚂蚁花呗/集分宝,0,80249,39,1,59385,428,30天内已售出2.5万+件，其中交易成功2万+件,3457,3977,59362,16,7,衣衣很舒服/(3087)/质量好/(2947)/色彩很好/(1043)/版式好/(816)/穿上好看/(601)/料子好/(499)/尺码很准/(440)/做工好/(227)/颜色不喜欢/(123)/料子一般/(81),
595701943598,1,2019/10/5,1,鄂尔多斯市羊绒直销厂家,3蓝冠,鄂尔多斯羊绒衫直销2,2000元,4.8,4.8,4.8,229.00,269.00,229.00,0,269.00,0,1,S/M/L/XL/2XL,1314150,蚂蚁花呗/信用卡支付/集分宝,0,36142,10,0,37550,183,30天内已售出1.5万+件，其中交易成功1.5万+件,2162,385,37493,23,35,质量好/(2554)/很舒适/(2060)/穿着漂亮/(1035)/版型好看/(625)/手感不错/(568)/料子不错/(411)/衣服很合身/(374)/做工不错/(181)/面料一般/(128)/颜色不喜欢/(117),
575504034539,1,2019/10/5,0,贵妇女王,5蓝冠,羊毛衫的门市,3100元,4.8,4.8,4.8,29.90,48.80,29.90,39.90,19.98,淘金币可抵0.39元//10元店铺优惠券/满99元可用/领取//10元店铺优惠券/满100元可用/领取,1,S/M/L/XL/2XL,178168,蚂蚁花呗/信用卡支付/集分宝,0,28223,70,0,13467,260,30天内已售出2万+件，其中交易成功1.5万+件,2243,247,13450,14,3,衣服很舒服/(1424)/质量蛮好/(1415)/穿着效果好/(383)/码子很准/(348)/颜色挺正/(338)/板型很好/(329)/手感很好/(249)/布料好/(229)/做工很赞/(69)/尺寸有偏差/(39),
521551373783,1,2019/10/5,0,九牧世家时尚坊,1金冠,九牧世家时尚坊,2000元,4.8,4.8,4.8,28.00,39.00,49.00,27.90,29.00-36.00,淘金币可抵0.58元//5元店铺优惠券/满98元可用/领取//3元店铺优惠券/满58元可用/领取,1,S/M/L/XL/XXL码126-135斤穿/3XL码136-150斤穿/4XL码151-160斤穿/5XL码161-175斤穿/6XL码170-185斤穿,115926,蚂蚁花呗/信用卡支付/集分宝,0,189,29,1,69375,371,30天内已售出2万+件，其中交易成功1.5万+件,1977,567,69273,55,47,质量蛮好/(2050)/颜色挺正/(864)/衣服很舒服/(858)/穿着效果好/(603)/衣服很合身/(453)/版型好看/(449)/布料好/(403)/做工很赞/(257)/尺寸有偏差/(67)/质量不行/(44),
599353852879,1,2019/10/5,0,骨朵家女装,2金冠,冷冷冷冷的咖啡,2200元,4.7,4.8,4.8,59.00,69.00,59.00,55.00,39.00,淘金币可抵0.78元,1,均码,274775,蚂蚁花呗/信用卡支付/集分宝,1,56270,39,1,4137,203,30天内已售出2万+件，其中交易成功1万+件,529,80,4134,2,1,衣服很舒服/(827)/衣服不错/(465)/颜色挺正/(213)/穿着效果好/(174)/版型漂亮/(131)/布料好/(87)/没有色差/(66)/大小合适/(63)/舒适百搭/(51)/做工很赞/(15),
602117181087,1,2019/10/5,0,下架学姐XJXJ,5蓝冠,可可家cocoga,1000000元,4.8,4.8,4.8,49.98,41.98,39.98,39.98,23.98,淘金币可抵0.47元,1,均码,584385,蚂蚁花呗/信用卡支付/集分宝,0,20789,39,0,3758,213,30天内已售出1万+件，其中交易成功1万+件,1478,95,3757,1,0,整体不错/(1109)/衣服很舒服/(901)/版式好/(396)/颜色挺正/(275)/穿着效果好/(262)/布料好/(167)/没有色差/(108)/很厚实/(90)/尺码很准/(49)/做工很赞/(24),
597194408956,1,2019/10/5,0,伟伟时尚服饰1029,2蓝冠,伟伟时尚服饰1029,1001元,4.6,4.7,4.7,49.90,39.90,49.90,39.90,39.90,淘金币可抵0.79元,1,S/M/L/XL/2XL/3XL,285952,蚂蚁花呗/信用卡支付/集分宝,0,88037,21,0,11277,228,30天内已售出1万+件，其中交易成功9500+件,563,92,11238,17,22,衣衣很舒服/(400)/宝贝很赞/(373)/穿上好看/(135)/色彩很好/(126)/版型漂亮/(126)/大小合适/(73)/料子好/(67)/手感不错/(56)/没有色差/(47)/做工好/(26),
602341720666,1,2019/10/5,0,下架学姐XJXJ,5蓝冠,可可家cocoga,1000000元,4.8,4.8,4.8,41.98,39.98,31.98,29.98,15.98,淘金币可抵0.31元,1,均码,875679,蚂蚁花呗/信用卡支付/集分宝,0,21409,96,0,3779,185,30天内已售出2万+件，其中交易成功1万+件,1299,65,3777,1,1,很舒适/(843)/宝贝很赞/(807)/穿着漂亮/(230)/板型很好/(218)/颜色很美/(207)/料子不错/(108)/没有色差/(84)/码子很准/(62)/手感不错/(57)/做工不错/(30),
598246041508,1,2019/10/5,0,刘德华翔店,2蓝冠,刘德华翔店,3600元,4.7,4.7,4.7,108.00,102.00,95.00,62.90,39.80,淘金币可抵0.79元,1,S优质款建议80-95斤/M优质款建议95-110斤/L优质款建议110-120斤/XL建议120-130斤/2XL优质款建议130-140斤/3XL优质款建议140-155斤,48469,蚂蚁花呗/信用卡支付/集分宝,0,77963,12,0,6216,248,30天内已售出1万+件，其中交易成功9000+件,523,57,6202,11,3,宝贝很赞/(438)/衣衣很舒服/(423)/式样好/(210)/穿上好看/(106)/料子好/(87)/尺码很好/(55)/厚实/(46)/色彩很好/(34)/手感也不错/(33)/做工好/(19),
598305735879,1,2019/10/5,0,高端依依貂绒衫店铺,4蓝冠,涛涛888886,2002元,4.8,4.8,4.8,99.00,49.90,49.00,35.00,31.90,淘金币可抵0.63元,1,S/M/L/XL/2XL,23226,蚂蚁花呗/信用卡支付/集分宝,1,23719,22,1,16615,199,30天内已售出1万+件，其中交易成功8500+件,1060,393,16611,3,1,整体不错/(1319)/衣服很舒服/(1145)/颜色挺正/(422)/版型漂亮/(310)/穿着效果好/(301)/大小合适/(281)/布料好/(212)/做工很赞/(96)/颜色一般/(55)/尺寸有偏差/(41),
587294328359,1,2019/10/5,0,喵喵家网店,1金冠,四季妈妈装衣纺,3000元,4.7,4.8,4.8,29.90,29.90,42.00,48.80,29.30,淘金币可抵0.58元//10元店铺优惠券/满99元可用/领取//10元店铺优惠券/满99元可用/领取,1,S/M/L/XL/2XL,130354,蚂蚁花呗/信用卡支付/集分宝,0,47160,19,0,8358,220,30天内已售出1万+件，其中交易成功8500+件,1756,170,8316,25,17,质量蛮好/(1202)/衣服很舒服/(1200)/外形好看/(551)/穿着效果好/(391)/颜色挺正/(293)/码数很准/(238)/款式很潮/(237)/布料好/(209)/手感挺好的/(184)/做工很赞/(74),
